Date.Announced,Hospitalized,Recovered,Deceased,Day_Number
2020-03-07,0,1,0,0
2020-03-18,1,0,0,1
2020-03-19,0,1,0,2
2020-03-21,3,0,0,3
2020-03-22,3,0,0,4
2020-03-23,2,0,1,5
2020-03-24,6,0,0,6
2020-03-25,8,0,0,7
2020-03-26,3,0,0,8
2020-03-27,9,0,0,9
2020-03-28,4,0,0,10
2020-03-29,4,4,0,11
2020-03-30,17,0,0,12
2020-03-31,57,0,0,13
2020-04-01,110,0,0,14
2020-04-02,75,0,0,15
2020-04-03,102,0,0,16
2020-04-04,74,0,0,17
2020-04-05,86,0,0,18
2020-04-06,50,0,0,19
2020-04-07,69,0,0,20
2020-04-08,48,0,0,21
2020-04-09,96,0,0,22
2020-04-10,77,0,0,23
2020-04-11,58,0,0,24
2020-04-12,106,0,0,25
2020-04-13,98,0,0,26
2020-04-14,31,0,0,27
2020-04-15,38,0,0,28
2020-04-16,25,0,0,29
2020-04-17,56,0,0,30
2020-04-18,49,0,0,31
2020-04-19,105,0,0,32
2020-04-20,43,0,0,33
2020-04-21,76,0,0,34
2020-04-22,33,0,0,35
2020-04-23,54,0,0,36
2020-04-24,72,0,0,37
2020-04-25,66,0,0,38
2020-04-26,64,0,0,39
2020-04-27,52,54,0,40
2020-04-28,121,54,1,41
2020-04-29,104,82,2,42
2020-04-30,161,48,0,43
2020-05-01,203,54,1,44
2020-05-02,231,29,1,45
2020-05-03,266,38,1,46
2020-05-04,527,30,1,47
2020-05-05,508,76,2,48
2020-05-06,771,31,2,49
2020-05-07,580,31,2,50
2020-05-08,600,58,3,51
2020-05-09,526,219,4,52
2020-05-10,669,135,3,53
2020-05-11,798,92,6,54
2020-05-12,716,83,8,55
2020-05-13,509,41,3,56
2020-05-14,447,65,2,57
2020-05-15,434,359,5,58
2020-05-16,477,939,4,59
2020-05-17,639,634,4,60
2020-05-18,536,234,3,61
2020-05-19,688,489,3,62
2020-05-20,743,987,3,63
2020-05-21,776,400,7,64
2020-05-22,786,846,4,65
2020-05-23,759,363,5,66
2020-05-24,765,833,8,67
2020-05-25,805,407,7,68
2020-05-26,646,611,11,69
2020-05-27,817,567,6,70
2020-05-28,827,639,12,71
2020-05-29,874,765,9,72
2020-05-30,938,687,6,73
2020-05-31,1149,757,13,74
2020-06-01,1162,413,11,75
2020-06-02,1091,536,13,76
2020-06-03,1286,610,8,77
2020-06-04,1384,585,15,78
2020-06-05,1438,861,12,79
2020-06-06,1458,633,19,80
2020-06-07,1515,604,18,81
2020-06-08,1562,528,17,82
2020-06-09,1685,798,18,83
2020-06-10,1927,1008,19,84
2020-06-11,1875,1372,23,85
2020-06-12,1982,1342,18,86
2020-06-13,1989,1362,30,87
2020-06-14,1974,1138,38,88
2020-06-15,1843,797,44,89
2020-06-16,1515,1438,49,90
2020-06-17,2174,842,48,91
2020-06-18,2141,1017,49,92
2020-06-19,2115,1630,41,93
2020-06-20,2396,1045,38,94
2020-06-21,2532,1438,53,95
2020-06-22,2710,1358,37,96
2020-06-23,2516,1227,39,97
2020-06-24,2865,2424,33,98
2020-06-25,3509,2236,45,99
2020-06-26,3645,1358,46,100
2020-06-27,3713,2737,68,101
2020-06-28,3940,1443,54,102
2020-06-29,3949,2212,62,103
2020-06-30,3943,2325,60,104
2020-07-01,3882,2852,63,105
2020-07-02,4343,3095,57,106
2020-07-03,4329,2357,64,107
2020-07-04,4280,2214,65,108
2020-07-05,4150,2186,60,109
2020-07-06,3827,3793,61,110
2020-07-07,3616,4545,65,111
2020-07-08,3756,3051,64,112
2020-07-09,4231,3994,65,113
2020-07-10,3680,4163,64,114
2020-07-11,3965,3591,69,115
2020-07-12,4244,3617,68,116
2020-07-13,4328,3035,66,117
2020-07-14,4526,4743,67,118
2020-07-15,4496,5000,68,119
2020-07-16,4549,5106,69,120
2020-07-17,4538,3391,79,121
2020-07-18,4807,3049,88,122
2020-07-19,4979,4059,78,123
2020-07-20,4985,3861,70,124
2020-07-21,4965,4894,75,125
2020-07-22,5849,4913,518,126
2020-07-23,6472,5210,88,127
2020-07-24,6785,6504,88,128
2020-07-25,6988,7758,89,129
2020-07-26,6986,5471,85,130
2020-07-27,6993,5723,77,131
2020-07-28,6972,4707,88,132
2020-07-29,6426,5927,82,133
2020-07-30,5864,5295,100,134
2020-07-31,5881,5778,94,135
2020-08-01,5879,7010,99,136
2020-08-02,5875,5517,98,137
2020-08-03,5609,5800,109,138
2020-08-04,5063,6501,108,139
2020-08-05,5175,6031,112,140
2020-08-06,5684,6272,110,141
2020-08-07,5880,6488,119,142
2020-08-08,5883,5043,118,143
2020-08-09,5994,6020,119,144
2020-08-10,5914,6037,114,145
2020-08-11,5834,6005,118,146
2020-08-12,5871,5633,119,147
2020-08-13,5835,5146,119,148
2020-08-14,5890,5556,117,149
2020-08-15,5860,5236,127,150
2020-08-16,5950,6019,125,151
2020-08-17,5890,5667,120,152
2020-08-18,5709,5850,121,153
2020-08-19,5795,6384,116,154
2020-08-20,5986,5742,116,155
2020-08-21,5995,5764,101,156
2020-08-22,5980,5603,80,157
2020-08-23,5975,6047,97,158
2020-08-24,5967,6129,97,159
2020-08-25,5951,6998,107,160
2020-08-26,5958,5606,118,161
2020-08-27,5981,5870,109,162
2020-08-28,5996,5752,102,163
