District,Total_Cases,Total_Recovered,Total_Deaths,Death_Rate (%)
Airport Quarantine,1714,1635,1,0.058343057
Airport quarantine,4,0,0,0
Ariyalur,2519,2010,30,1.190948789
CHENNAI,17,0,0,0
Chengalpattu,25056,22057,402,1.60440613
Chennai,131847,115489,2675,2.028866793
Coimbatore,13897,10143,280,2.014823343
Cuddalore,10334,7322,115,1.11283143
Dharmapuri,1200,1043,13,1.083333333
Dindigul,6217,5359,120,1.930191411
Erode,2731,1423,37,1.354815086
KARUR,1,0,0,0
Kallakurichi,5708,5049,66,1.156271899
Kancheepuram,16702,14227,228,1.365105975
Kanyakumari,9175,7617,164,1.78746594
Karur,1453,1018,25,1.720578114
Krishnagiri,2006,1645,29,1.445663011
MADURAI,9,0,0,0
Madurai,13778,12562,349,2.533023661
Nagapattinam,2339,1562,36,1.539119282
Namakkal,1917,1300,36,1.877934272
Nilgiris,1536,1211,10,0.651041667
Other State,0,0,3,0
Perambalur,1249,1092,17,1.361088871
Pudukkottai,5751,4397,88,1.530168666
Railway Quarantine,428,424,0,0
Ramanathapuram,4628,4033,103,2.225583405
Ranipet,10069,8870,115,1.142119376
Salem,9815,6517,129,1.314314824
Sivaganga,3962,3552,106,2.675416456
TENKASI,2,0,0,0
Tenkasi,5155,4110,101,1.959262852
Thanjavur,6239,5324,109,1.747074852
Theni,12293,10306,139,1.130724803
Thiruvallur,23926,21692,403,1.68436011
Thiruvarur,3276,2615,41,1.251526252
Thoothukkudi,11112,10120,108,0.971922246
Tiruchirappalli,7158,6087,113,1.578653255
Tirunelveli,9148,7628,167,1.825535636
Tirupathur,2759,2204,57,2.06596593
Tiruppur,2458,1627,62,2.522375915
Tiruvannamalai,9988,8952,154,1.54185022
Vellore,10320,8924,147,1.424418605
Viluppuram,6896,5843,62,0.899071926
Virudhunagar,12433,11704,186,1.49601866
chengalpattu,2,0,0,0
chennai,4,0,0,0
